,Comments
12498,"challenge to myself 
i am going to get in the 99.9 percentile categorie in the jee mains 2022. I will comment my score after the 1 mains."
12499,❤️
12500,20k like ho jaega bhai 💝💝
12501,Congratulations bhaii
12502,Bhaiya kis company me placed huye .but congratulations 👏 congratulations 🎉 t
12503,Macha diya bhaiya 🥳🔥🔥🔥
12504,Bhaiya this video 🥺
12505,Nothing can beat the smile of yours mom's face❣Best of luck for ur future ❣
12506,"I followed this channel when it was at 1k subs and name was tech skool 
More raise to you brother......🙌🤝"
12507,"Sahi kha, pure parivaar me ek me hi hu engineering field me 😞😞"
12508,"Ajay Bhai Congratulations. 
Bhai bahut accha video. Mother reaction dekh kr i have goosebumps"
12509,Happy for you brother....for happy future💕💕
12510,Kitne ka package hai bhaiya ⭐
12511,Such a inspiring video thanku
12512,"Congratulations bhaiyaa for getting the placement u did have worked hard consistently... Can you please upload a video on ""Incubation centre"" of DTU coz this topic is still untouched.. i have browsed through the whole internet..."
12513,Congratulations🎉🥳👏
12514,"Hii. Bhiya , please tell me placement of 2nd dropper of jee mains..b"
12515,", piche ac laga hai aur middle class seriously"
12516,"Bhaiya agye ache din  merko lga rha hai
Views dekhoo bhaiya 😄aur subscriber jitne 1 month me nhi bde ek video se bad gye i think god was taking your exam for seeing your patience and apne pass kar liya finally congrats ajay bhaiya and touch wood😂 nazar nhi lgni chahiye 😂"
12517,"Bhi apki job lagi pata nahi mai kyu khush ho raha hu ☺☺☺
By the way I am also the 1st lunda in engineering from my khandaan"
12518,Congratulations 🎉
12519,Hard Work Pays Off 🔥❤️👍
12520,Ur mother smile🔥
12521,"Bhai Emotional Kar Diya
Dil se congratulation"
12522,Amazing👍😍🤩 💫
12523,🔥🔥🔥
12524,What was the company name bro
12525,Kya video h ❤️❤️
12526,You're missing those indents
12527,You will be great because of your story telling. Very few people can master that...Cheers Bud
12528,congrates bro
12529,Congrats Bhaiya
12530,Bhaiya kn si language se questions aayi thi?
12531,Konsi company ha bta di
12532,"The amazing thing your mother said
""Me andar se tut gayi thi bs tujhe dilasa de rhi thi"""
12533,"All the hustle we do is for that one smile in our parents face ❤, congratulations brother.🙌"
12534,Bta do bhaiya
12535,Congratulations brother 💐💐
12536,Priceless hoti hai bhai
12537,Men the smile
12538,Congratulations my brother!🔥🔥....#inspiration
12539,Bht ghtiya
12540,Congratulations bhaiya 🎆🎆🎉🎉
12541,Good keep it up 👍👏👏
12542,Congratulations 👏
12543,Bohot bdia mere bhai keep up the great work 🎉🎉❤️
12544,Starting wali video dil chuh gyi sahi m.....lots of luv😉
12545,"This mom smile is 100% true 
Me bhi apne mom ke face pe yehe smile dekne ka entezaar kar raha hu"
12546,Bhai story mast bnate ho yar
12547,Bahi Apki it stream Thi. Bro mae plus two pass hu. Muje computer nHi ata. Mae kya computer science engineering le lu. Ya lene se pehele muje kon si video computer basis ke liye dekhni chaiye. Please reply me
12548,Bhaiya aapne apne jaise hi editing ki h... Op editing.
12549,Congratulations...
12550,That smile 😃
12551,Best of luck for your future...and congratulations...
12552,100k views hope all the views sub the channel
12553,tomorrow is my interview..wish me luck
12554,Congratulations bro 🔥 had tears in eyes
12555,"Great bhaiya
Amazing
You are chhupa Rustam"
12556,Congratulations brother
12557,I got tears when I saw your  mummy's reaction... Because it's relatable to my life also... Well done bro.. Keep going Ahead...
12558,"Bhai literally khushi k aansu chhoot gye 
Jab apki mummy ka reaction dekha 
Love you brother ... 💟"
12559,"This video took me to my days. Feeling nostalgic. Anyways, Congratulations mate. Keep going. :)"
12560,Hard h broo 👍🏻👍🏻
12561,The smile on your mummy's face made myself emotional 🥺🥺
12562,"Bhaiya big fan following you since 2k subs. 
U r real motivation for engineering students love u brother ❤️❤️"
12563,Dope video bro
12564,Love u bro and congrats .......aise hi naam roshan krte raho sabka ...u r the true motivation for us 😇😇😇😇😇💞💞💞
12565,Congratulations bhai... .. I'm feeling very good for you.
12566,Very  well made!
12567,That smilee😍🔥
12568,100k views loading... ⚡🔥🤓 me to 20 bara dekh chuka hai😂
12569,Got goosebumps ✨
12570,"Just for this moment I'm grinding,just for this"
12571,U r branch
12572,The video quality is just...Dope!
12573,When we are happy we can't react
12574,Amazing bro. 🔥😄
12575,Company ?????
12576,Bhai Irfan Junejo ki yaad aagayi
12577,Congratulations 🎉🎉❣️ This was so relatable n motivating ❤️
12578,Editing level OP🔥🔥🔥 and Parents reaction were amazing!!!  so happy for you💕 hardwork says it all🙌
12579,Ya bro tumhara kal ka mehnat rang layi
12580,"Goldman sachs
35 lpa"
12581,Dedication ❤️😍
12582,"Bhai apka pass ac ha 
Atleast upper middle class 
Happy for u 🔥"
12583,Day 1 of mehnat
12584,bro this video is my first video in my life jise dekh k emotinal huwa hu or anshu aye h ankho me ❤❤❤
12585,wow ajay bhai kya dikha diya yar.....
12586,I really get goosebumps after seeing your father and mother happiness
12587,Paytm mai hua hai bhaiya ka placement
12588,Congratulations bro🥳🥳 Well done 👍
12589,Mother  mai undersea tod gai the per tojhe delasa ddre thee that's called MOTHER
12590,Sir KONSA CAMERA USE KARE APP OR EDITING APP PLZ BOLONA
12591,💙
12592,Kitna package Mila hai?
12593,♥️♥️ congrats
12594,"So much of emotions in this video, fully relatable. Congratulations buddy👏🎉"
12595,congratulations
12596,Bro please make a video on computer engineering over computer science engineering
12597,"Arre, DTU ka launda hai. Kaise place nahi hoga bhai :)"
12598,Bhaiiyaaa..yeh video ab algorithm ne pick up kar liya hai. It was getting suggested to me everyday and now finally I saw it and OMG YOU HAVE GOT A SUBSCRIBER. I can bet isko bohot views milenge..atleast 1M
12599,3 - 4 L ka PLACEMENT lga hoga tbhi nhi btaya ???
12600,abey kitna ka placement mila
12601,"Ajay bhai abhi placement hua mera bhi in Whatfix as a SDE intern ,bahut achchha feel hota hai, Congrats 🎉🎉🎉 bhai for upcoming bright future"
12602,Congratulations bro!! OG editing 🔥🔥
12603,AAKHON M PAANI AA GYA BHAI
12604,Maja tb aya..  jab reaction ki baari  aayi...
12605,"bhai ka patym compay 
 mai ho gaya congratulations 🎉🎉🎉🎉"
12606,The smile at 7:22 speaks it all.
12607,"Badiya Bhai ❤️, Me 12th me Hu, Tumne to mujhe Bhi Motivate krdiya 😂, Thanks 😍"
12608,waited for this video for so long
12609,Bhaiya app ne cooding kha se start kiya hai means which platform 😊
12610,"""meh toh andar seh toot gayi thi terko dilasa de rahi thi""😭"
12611,congratulations 😍
12612,"I'll definitely comeback in this video's comments section, when I'll be placed too..💯"
12613,Congratulations Bhai
12614,"you smile says everything, and your mom's reaction ,she is very supportive.best of luck ."
12615,Late..  But very happy 😍😍gg bro 🔥🔥🔥🔥
12616,"Your parents reactions overshadowed your editing level.
Maa baap ki kya baat karun. Jitna unka thanks karo utna kam h"
12617,"The company is Paytm.
I am his close friend. So I know it."
12618,This was sick video bhaiya ♥️
12619,Congratulations bhai...
12620,6:13 overacting 😴
12621,The Smile of your parents is amazing ❤️
12622,"This cannot be more motivating...
The best thing I've done on youtube was subscribung to this channel"
12623,Many congratulations! Proud of you! ❤️
12624,Congragulations 🎉🎉
12625,God bless you📍📍📍📍📍📍📍
12626,"Bhai tum Sach  batana 
 Placement  ke leya 
Tum kon kon language  kiya tha"
12627,"Bhaiya
Please make a video on how you have got placed. Which type of Qs were asked in interview round and coding round ?
In which area you have focused a lot ??
Thank you"
12628,Congratulations 🥳
12629,Bro pls make video on your college journey what u did in 4 yrs and congrats bhi 💫
12630,Bhai maine 11th 12th maih coding nhi kiya h parr mere parents force karr rhe h ki tu cs karr kya karru bhai bola koi tip jee 🙏😭
12631,❤️❤️❤️
12632,Brother apna resume bhi bhej di
12633,Bhaishab tagra🥳
12634,Kayn si company me?
12635,congrats you deserved it
12636,Anshu aagye bhai.. apni placement wali din yad agyi
12637,Congratulations bro
12638,Paytm karo
12639,"bhai kal maine tera video dekha socha ki mera kab hoga bhai aaj mujhe bhi offer letter mil gaya bhai apne se jaayda parents hi khush hote hai yeh fact hai, aur aaj wapas aa gaya comment karne ke liye"
12640,Congratulations bro ♥️
12641,congratulations bhaiya
12642,"""Main toh andar se toot gayi thi tumhe dilasa de rahi thi"" that felt very hard"
12643,video dakh k motivation into 100 ho gaya
12644,"Totally relatable , only one thing trust the process..."
12645,Congratulations Ajay!
12646,Let's do this
12647,Nicely done 😊🤘
12648,heck this video made me emotional keep  going man!
12649,"""Mera mnn ni tha coding mei... Par mujhe start krna padha."" . Relatable 😅"
12650,"Parents gonna always boost hope to their children 🙂, despite so many failures they gonna stand in our Tough times as a true friend ❤️.So Happy for you 🙌"
12651,Bhai pehli video h tumhari... maja aa gya yaar the way you make videos....
12652,7:29 every mom's heart be like.....
12653,Love from pauri garhwal uttarakhand ❤️
12654,6:33 'aur lago phone mein... poore din'😂😂
12655,6:22 sabse upar tumhare BHAI KA NAAM
12656,Brother starting of the has the wholesome vibe.
12657,Looks like music video
12658,whooooooo very soothing voice!! congrats!!
12659,"Ye awaaz suni  suni lg rhi h 
You remind me Hriithik  Roshan"
12660,Baniyan mat utaro.... 😂🔥🔥🔥Ho gaya hai 🔥🔥
12661,Congratulations ❣️ God bless you 🙏
12662,Sick video editing 🔥🔥
12663,Congratulations bhaii keep going happy for you.🤝🤩
12664,So happy for you bhaiya❤️❤️❤️
12665,Ajay Bhaiya kya bawal video bnayi hai ❤️
12666,6:52 true mom 😊❤❤
12667,So Happy for you!!!🥳🥳😃
12668,"every middle class aspirant can relate to this story 😊

btw app chahe kuch bi kaho chahe apka selection ho ya na ho lekin apke jaise parents bhagwan sabko de kyunki jab apne bola mummy mera nhi hua tab bi mummy dukhi nhi hui aur bs yahi bola beta abhi aut bi aayengi tention na la unme try kar 

thats the spirit 😊😊😊
really happy for u bro 😊"
12669,"Congrats bhaya 
Bhaya app cse ho ya non-cse"
12670,"Lazy guy ,5 gante hi so pata😂😂😂"
12671,Bhai please tell that how much is your package  ????
12672,i can feel that smile ! 🤗
12673,Ajay Raj 2K18/IT/012 Paytm 16LPA.......... Congratulations Bro........🙏🙏🙏
12674,Congratulations🎉🎊
12675,Bhaiya ye batao kitno ki placement nhi lagi
12676,Congratulations bhaiya
12677,"Quite relatable
Last year in lockdown I started studying
No on campus placement
So I applied in Accenture 
Almost got it"
12678,Which company broo??
12679,Nice video editing and thumbnail is 👍
12680,Congratulations was waiting for it🤩
12681,Many many congratulations bhaiya ❤️❤️💥💥
12682,Which company
12683,We can feel
12684,I'm still in while loop
12685,This was off placement of on campus placement
12686,7:40 made me cry!
12687,Happy for u bro but can u tell what job did u get and where also what about X lpa
12688,8:28 Relatable with my papa...
12689,that smile 7:24 was so cute
12690,Congratulations🌠☺
12691,Congratulation brother🥳😄
12692,"Sir , questions kabhi discuss karoge ?"
12693,"7:19 Mummy Ho gaya hai (only reason of working hard) 🔥🔥

Congratulations bro 👏🏻👏🏻"
12694,Bhai konsi branch s ho aap?
12695,Your mom's reaction was priceless 🥺🥺❤️❤️
12696,"Which company you get in  placed??
🤟🎊🎉🤟"
12697,Congratulations bhaiya 😄✌🏻
12698,"Congrats Man! I paused the video @8.30 to comment bcoz my parents used to say the same words when I was struggling for the same.
Keep Going!"
12699,Ajay raj company is paytm and 16lpa
12700,Congratulations bhaiya..🙏🏻..keep growing .
12701,Bhaiya Aapki mummy ki  khushi dekh kar  bahut aacha  laga  jaise  meri placement  lagyi  ho
12702,Great One Bhaiya.
12703,"Bhai same yar .Bhai ya 5th sem ha bhai coding nah ah rahe yar🤣 . Hackerearth ka tao question ho heee nah raha basic wala v. 
But bhai congrats  your videos help me lot 🤟😊."
12704,congratulations bro
12705,150 rupya kat iska overacting ka
12706,Op
12707,Chalo. Yeh bhi theek hai
12708,Cgpa kitni thi tumhari??
12709,cinematography kaafi badhiya thi.
12710,Who thinks he got a package between 15-18 lakhs ??🤩🤩
12711,Ohh man what an edit bro aap kaha job me lage ho jaake editing me carreer banao.
12712,Aapki branch konsi hai dtu me
12713,ok bhaiya done
12714,Start
12715,"could u plz make a video on how and when u started studying prep for placements?  
or u started studying from ur first year itself?"
12716,"Hey bhaiya! Very Motivating! I am in bits pilani (2nd yr), i have an education loan on my head, started yt around an year ago, have a bit low cgpa, my mother always tells me to code. I felt like I was watching my own house and story. Hope that I will also get placed and vlog it someday 🙂"
12717,but is that situation will be there for the  tier 3 college students??...college mai hi companies nhi aati ..😅😅😅
12718,Bhaiya cv raman good choice hoga? Ya nahi
12719,Aap kis College se the?
12720,🧿
12721,Same  bhai got placed too and in a good product based.
12722,♥️♥️best video
12723,"Congu bhai  kya hi bolun m .
Just congratulations....  
Love you bro 
Just wanna meat u once in my utube journey & engineering journey"
12724,Great one bro 💜 keep growing 🙌
12725,Congrats ajay Bhaiya
12726,HOW ARE YOUR AFGHANISTANI FREINDS???
12727,"Itne nested if conditions , sonar cyclomatic complexity ka rona royega 😂 just for fun"
12728,congrats bhaiya
12729,Guess Package Here 👇👇👇
12730,Don't take placement bro..... cinematography is waiting for you.....
12731,"Great to come across this channel.  Coming from a lower middle class background could definitely vibe with you, inspite this video being the first one to come across."
12732,Same college.. Same yr... (Mtech) Got placed after lot of struggle too.
12733,happy for you bro
12734,Ok so changed my stream from medical to bba ..like yall know what does that mean in our society and I got meritlisted in scms and luckily my parents supported my decision both financially and emotionally especially my sweet dadu (hehe) even tho their dream obviously was to see me as a DoCtOr but still they supported my dream..and now the PRESSURE is on me with all the HUGE amount my family is paying for my studies....just wish me luck formy future....feels good to load off the stuff...gn
12735,bhai maza aa gya apke liye bro
12736,Congratulations bro.
12737,Congratulations bhai 🥳
12738,So happy for you!❣️ Wish you all the best for your future endeavors❤
12739,You had studied from ymca Faridabad?
12740,"SO,   2 HOURS or 4 HOURS a day ?   Coding"
12741,Congratulations 💐
12742,"Kon kon apne apne ko imagine kar rha he is pal ko 🤩🤩
All the best for your placement"
12743,Nice video bhai solute your dedication 🔥🔥
12744,Aap kon se college se ho
12745,Wo jo striver bhaiya ki starting pe video aayi thi uska naam kya hai video ka ya link
12746,Congratulations bhaiya
12747,Your video making skill is top notch. And Congratulations for your placements
12748,Bro teri meri kahani kafi same hain even month bhi🤣
12749,randomly I got suggestions for this video and watched it till the end amazing it was just amazing congratulations and the reaction of parents bhaii no wards for that....keep growing.. and nice editing❤❤😍🔥👍
12750,Congratulations man !
12751,Congrats bhai 😊😊✌️.
12752,🙏🏻🙏🏻🙏🏻
12753,Literally I cried ❤️❤️ wish u luck for future!!
12754,Next level editing bhaiya🔥and Congo ❤️
12755,"Bhai same condition with me I can relate your video with my own right now I also got placed in a company the felling was same as u show in this video .
Truly touching video, as like I am seeing myself .❤️"
12756,bhaia maza a gya same day placed
12757,Bhai great ho aap... 🙏🙏🙏🙏 maan gaye janab
12758,Omg the video editing is 😍😍🤩🧨
12759,❤❣️💙
12760,Pay tm main hua hain.  !
12761,"Bhaiya Aap DTU mein ho, toh itna kyu tension le rahe the."
12762,bhaiya
12763,Congratulations bhai achha lga apke lie shi bat h itna loan or mehnt k bad placement na lge to middle class wale ka dar ho jata h family bhi khush h apki dekho kitni all the best
12764,Placed kaha hue aap?🙄
12765,Congratulations bhai and  I also got placed but in service based mnc 🙂
12766,Gajab bhaiya....
12767,Congratulations 🔥
12768,👑👑👑👑
12769,Bhai kitni cgpa honi chahiye ?
12770,Congrarulation Ajay Bhai 😇😇
12771,Congratulations  😊🌹
12772,Super editing♥️♥️
12773,Awesome video.... awesome 🔥and congratulations
12774,"So happy for you bhaiya 
Aap ne kar dikhaya"
12775,"One thing you remember
If you demotivate then go to your parents these people is biggest motivators ever in your life"
12776,Congrats 🎉🥳bro keep it up
12777,congrats bhaiya!
12778,"Paytm mei hua hei boiss , instagram pei dala tha bhaiya nei , package nahi pata"
12779,MERE TO KHUSHI KE ANSU NIKAL GAYE
12780,Congratulation bhaiya  🥳🥳🎉🎉apki story dekh kar goosebumps aa gaiii🔥🔥
12781,Congratulations bhai ❤️
12782,Bhaiya editing level to op !!
12783,Amazing video ...
12784,where did he placed
12785,"I'm happy for your mom,when she said me andar se tut gyee the really hurted me❤️"
12786,Bhaiya editing mst.. Aur khabar aur mst... Good luck from IIT...
12787,Congratulations may god bless you 🎉
12788,OP editing bhaiyaaaa!! And congratulations ❤️
12789,And this video makes me emotional ☺
12790,"Very happy for you ❤️❤️❤️
Congratulations 🥳"
12791,Lot's of blessings and congratulations bro keep shining you're really a responsible son ..... Love from Bihar ♥️♥️♥️♥️❣️❣️❣️
12792,Harman kaha hai 🤣🤣...kuch bol ni rha phat gyi kya uski ...😂...btw congrats bro ..you deserved this 👏👏
12793,Love this vid because I am also from the middle class family and relate this vid
12794,Congratulations brother 💗💗
12795,"i got internship of 20k/month ,,,, your channel helped me a lot , i am in just 2nd year"
12796,"Congratulations Man...😀
Every student have a same dream....
And specially Mother smile.....that is million Dollar......."
12797,Congratulations Bhaiya 🎉❤️😍
12798,Happy for uhh man..you are motivation ❣️❣️
12799,"Congratulations dude 🎉🎉🥳🥳
So happy for uh ☺☺"
12800,Bahut bahut badhai Ho Nitin job lag gai
12801,This is crazy level editing bhaiya! Super proud and congratulations for your placement!!
12802,congratulations bro
12803,Bhaiya aapki dedication ka alag hi level hai 🔥🔥❤️❤️💯💯
12804,"Another eg that a non computer science student can crack placements🙏🔥🔥🔥🔥
Congo bhayia"
12805,BHAI APAK PASS KONSI BRANCH THI B TECH MAA
12806,Congratulations bhaiya 😀.....sach me goosebumps aagye ❣️
12807,"The feeling when we get an offer is amazing! It feels like saalo ki mehnat safal ho gayi, congratulations Ajay✨"
12808,Congratulations
12809,Congrats aapk collage konsaa hai
12810,🥺best and the only genuine person on YouTube 🥂❤️
12811,❤️👍
12812,Believe me I watched it nearly 10 times.
12813,Year of passout..?
12814,Ok bro
12815,"Bade bhaiya. Mera  B Sc physics  ho gya he.
Master pe konsa sub choose karna achchha hoga 
placement k liye"
12816,Congratulation ❤️❤️❤️
12817,❤️❤️❤️❤️
12818,Amazing man! Happy for you 🔥🔥
12819,i hv seen ur every vdo but dis is definitely d best and the moment when u smiled was d best......mttlb khul k smile ki h.......congo for getting placed.....nd god bless uh......u r one of my fav utuber
12820,Congratulations Bhaiya Ji👏👍🥳
12821,Kya aap fatehpur se belong karte ho ? 🤔
12822,beech mein ad ne pura flow break Kar Diya .... Toba Toba Sara mood kharap kar Diya 😡
12823,"on the same track,,,preparing for jee aiming for dtu,,,,,,,going for placement,,,,,,,hustling ❤❤❤❤"
12824,God bless you beta
12825,Congratulations bhaiya 🎊
12826,Congratulations Bhaiya.
12827,BHAIIIIIIII YRRR KYA EDITING SKILLS HAIII AJAY BHAIYA MAJA AAGAYA YRRR....... BTW CONGRATSS BADE BHAII LOVE U LOTSSSS
12828,Heart warming 😭😭😭🥺😘😘❤️ love u bhaia
12829,Mummy mummy hoti h
12830,03/09/2021.............5-6 months for jee....ill be posting my reasult here.........and yeahhhh.....ill be surely doing that
12831,🙏🙏👏👏👍👍
12832,Really happy for you bro 🖤
12833,❤️
12834,Congratulations ...❤❤❤ you made me cry
12835,Paytm karo❤️
12836,wow....I want to like this video twice.
12837,After seeing aunty smiling...Mai imagine krne lgaa yrr jbb meri placement lgegi to meri maa kitni kush hogi yrr...Most prizeless things in this world is MAA BAAP ke chehre pe smile.
12838,Congratulations Bhaiya !!
12839,bhaiya video edit krnaa sikhaaoo naa please or apne iiye video edit kaise kiya iiskaa ek ek step bataaoo naa bhai mere please please
12840,Congratulations bhaiya
12841,Congratulations Bhai. Ebiz se jaanta hu tujhe.. your hardwork payed off !
12842,Keep going 👍
12843,Best video 🔥🔥❤️...
12844,Congratulations bro I also placed in that company
12845,"So , let's start ....."
12846,PAYTM...hope this answers the question for your next video...chalo ab padhai kro baki log jo dekh rhe ho
12847,Relatable - 100%
12848,"Bhaiya , bahut bahut congrats !! 
Video Editing is becoming day to day Masterclass . Love you Bhaiya !!"
12849,"Aunty ka Reaction MADE ME CRY , "" Andar se toot gayi thi mai to bas tujhe dilasa de rahi thi ""
We cannot Imagine what our parents can do for us , Love you mummy papa ."
12850,"Congratulations Ajay bhai 😎😎
Motivation*1Cr  😁"
12851,Finally done 👌👍
12852,Dil khush kar diya bhai.. maza aa gya .. mehnat safal hui
12853,I am waiting to see same smile on my parent's face. 2022 batch.
12854,Bhai package to bata dete😂🤞
12855,"Ahh rollercoaster of emotions.. 
Nd kindly tell us the source u opted to learn coding"
12856,Bhai English important hai
12857,Woahhhh ❤️❤️❤️ Congratulations bhai ...🔥🔥🔥
12858,"I m waiting for it ❤️❤️I got it ,👀👀"
12859,"Faad diya guru tune to...
Congratulations 👏👏👏🎉👏"
12860,"Video, content, editing.... Everything is 🔥🔥🔥🔥 
Congrats bhaiya 🎉🥳"
12861,Congratulations Bhai🔥🔥
12862,Congratulations brother💐
12863,"31st august first shift easiestttttttt 
now over ur careers ,sit nd cry"
12864,Aaapke chanel ka sbse best video hai bhaiya i hope minimum 50 k likes ❤❤❤
12865,Congratulations bro ❤️❤️
12866,khushi 🌝🌝
12867,Kitne ka lga?
12868,Bhai hosake to mere se baat karega mereko teri help chahiye .Mera bhi placement season start ho chuka hai ur Main kaise karu pls bhai call par help kar dega kya ??
12869,man o man ...here's a learner  trying to study your masterpiece
12870,Bhai gadwali ho ke aap
12871,yeah we will also make proud to our parents
12872,Just one word for you🥺...Congratulaaaaaaaaations😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
12873,"Congratulations ♥️brother, your hard work + patience + consistency pays you. I am very happy to see that you are placed 🤩"
12874,the way you present is awesome
12875,Thodi aur mehnat krta to govt job lag jati😜😜😜
12876,Apki branch kya thi
12877,congratulations!!!!!!!!!!!!!!!!!!!!
12878,Congratulations 🎉
12879,Congratulationsss 🎉🎉💗💗
12880,☺
12881,Bhai konsi company me lga hai?
12882,Congratulations bhaiya .........So happy for you
12883,Happy for you bhai
12884,"Bhaiya agr Mai dtu me admission leta hu to kya mujhe hostel mil jaegi ? Maine Delhi se 11th/12th kra hai relative ke Ghar pe rah ke but Bihar se belong karta hu 
Please bhaiya bta do"
12885,Congratulations Ajay
12886,"Pata nai kya bolu bhai yaa bhaiya, par sun lijiye mujhe bhi coding meh dikkat aati hai and mujhe CSE ke shivaay kuch karna hai but har koi college meh coding ke piche bhaag raha hai toh meh kya karu coding karu bina man ke yaa koi aur hustle start karu because meine first year meh bahot new things try ki and now mujhe pata hai mujhe konsi chize toh bilkul nai karni and but meri cgpa first year ki iss vajah se low reh gai? Aapke paas koi suggestion ho plz dena,Hoping aap reply karoge. Thank you bhaiya and many congrats,sorry congrats ending me bol raha hun."
12887,bhai aapne coding kaha se sikhi thi
12888,crack internship
12889,Bc editing video storytelling are maujh krdi bhai 🎉🎉🎉
12890,"Watching your mother's happiness really gave me goosebumps,Congratulations ajay raj,hardwork always pays off.Stay happy stay blessed."
12891,"Congrats Bro 🎉
Op Editing 🔥🔥"
12892,Again Congratulations bro and your story telling is amazing 🙌
12893,"Ohhhh Bhaisab 🔥 Gajab ki Video OP 🔥 
And Congratulations 🎉 Bhaiya 
Keep Going Keep Growing 🔥😄
I'm really happy for you
And Shayad Mera aache College me na ho , and aapko ek video editing ki master class Banti hai ab toh"
12894,Congratulations bhai ❤️👏
12895,Bro please make a video about aapko kya lagta h aapki tarah jinka placement nahi ho pa raha ya fir jinhone bahut normal collage se b.tech kare h or final year me h unko kya karna chahiye for placements
12896,Package kitana ka mila
12897,"I was having
All time smile on my face 
7:30
Aunti Ji's smile dekhi 
I started crying
The most worthy thing for me
Thanks for this video
❤️"
12898,Congratulations 🎉 bhaiya....☺️
12899,I m happy
12900,"Bhai tum video ko like krne ko bol rha 
Mein sb kuch kr ke is video ko download kr lunga mein abhi 2nd year me hu after seeing u r video mujhe bhi aisa feel hone lga ki placement mujhe bhi mil gya 

BTW any suggestions could u like to give me as I'm 2nd year student"
12901,"Bhai bhai kon kon se questions puche hai plz video bna bhai 
My dream was to go on FAANG companies"
12902,"ohhh, bro!"
12903,Congratulation Brother!! <3 <3
12904,Kon se company h bhai???
12905,ctc tho bataya nahi
12906,Wah .. goosebumps aagye....
12907,Congratulations Bhaiya !
12908,congrats bhaiya for your success .best of luck for your future
12909,bhaiya hamme pta hai paytm mai hua hai
12910,I could also feel that smile and ya sometimes their is no word to describe the happiness..❤
12911,#paytm
12912,"That blushing is so pure, I want to be like you too bhaiya"
12913,arre bhai rulaogay kya
12914,Awesome bhai! Nobody is going to talk about the video's production quality?
12915,"100 % Relatable 1st person In family jisne socha ki vo engineering krega , Baki relatives bolte hai Unemployment rahega , I will prove them wrong ✍️✍️✍️✍️8months ruk jao bss💥💥💥💥 aag lagadunga"
12916,"Bhaiya mza aa gya...
Hum middle class ke liye placement ka mza hi kuch aur hai..♥️♥️"
12917,Rula diya na bechare ko..🥺
12918,"Ham middle class family wala statement... 

Struggle of middle class family... 
Khud ka pressure... College ka pressure..... Loan ka pressure..... College ka fee ka pressure... Job nahi lagna ka pressure... 

Middle class family wala batt dil ❤ ko touch kia bhiya... 

Congratulations and best wishes for your next adventure... 🔥🔥🔥🔥

I am  motivate by you... I also started making YouTube video.. 😊😊😊"
12919,bhai maja agaya😇
12920,Wow! Congratulations ❤️
12921,Very happy for you 🤗🤗
12922,"Very very congratulations bhai 🎉
Feeling very happy for you and your parents!!"
12923,Congratulations!!
12924,Paytm karo ! : )
12925,"Bhaiya Abb bhar ke video chahiye n Haaaaaaaaaaaaaaaaaaaaaa, Referral wagera dekh lena 😅

Awesome video."
12926,Wow...it really gives motivation 🔥🔥..congratulations to you...
12927,"papa log jyada emotional wale reaction nahi dete😂 but ander khushi *💯
congrats bhaiya🥳 i wish dono jagah mast scene chalta rahe🤗 aapko shuru se follow karra hu aapke genunine content ki vajah se ab hamare liye mast mast cheez laate rehna🥰"
12928,Aag lga diye bhaiya ap to..
12929,Congratulations 🎉🎉bhaiya 🎂🎉🎉🎉
12930,💥💥
12931,Congooooo
12932,"Full on motivation ..Congrats bhaiya🙂🔥
Middle class wle jb chalang lgate hai toh sbse lmbhi lgate hai..U r a source for me to go forward ❤"
12933,Dil se kushi ho rhi h bhai🤗
12934,"Congratulations Bruh 🎊
I feel Really Motivated after watching this video . I'm not placed yet but i will definitely . 
All the best 🤗"
12935,Congratulations Bhaiya you are my one of the biggest  role model 💓💓🎉🎉🎉🎊🎊 .Best of luck for your future journey.
12936,Congratulations bhaiya getting placed at Paytm 🥳
12937,What superb cinematography and editing!! Congratulations! 🔥🔥
12938,Katai zehar ajay bhai
12939,"Mom:mai toh ander se tut gayi thi mai toh tere ko dilasa de rhi thi🔥🔥
Love of parents❤️"
12940,Editing - top notch 🔥
12941,"Bhai Congratulations🎉🎊🎉🎊🎉🎊👌👌👍👍👍
Yaar is khushi ka maza hi kuch aur hota hai....💖💖💖❤❤❤✌✌✌🏅🏅🏅
I m jee aspirant."
12942,your mom smile is even more than worth billion dollors
12943,Congratulations Bro ❤️
12944,"This video is heartwarming ❤️ 
Yarr kitna sweet video tha 
Aunty kitna khush ho gaye ❤️
Jab aapne bola aapne 32 ya 42 kuch companies mein try kiya I think yahi bola tha and then after trying so hard finally you got placed kitni ess khushi ka mjja hee kuch aur hoga ❤️"
12945,OP bro Big Fan ❤️
12946,"top notch story telling
top notch editing 
deserves a million subs for sure 🔥"
12947,16 lakh ka package hai bhai.....
12948,Cinematography (｡◕‿◕｡)➜ Tahalka 🔥🔥🔥
12949,Respect ++
12950,Congratulations 💐💐💐. Somehow related but my while condition is still return false.
12951,Bhaiya this is such a good news ❤️❤️❤️❤️❤️
12952,Congratulations senior
12953,Mummy ki smile ke liye 1 kya 100 likes bhai
12954,Congratulations sir 🙂
12955,"Bhaiya aap kuch alag level ka hi kaam kr rahe ho 🔥🔥🔥🔥 i m following u since u have 1k subs, u will surely achieve everything 🙏"
12956,Congratulations
